article_id	correction_method	correction_type	llm_corrections	replacement_field	replaced_string	replacement_string
The-Times_2023-11-27_Climate-activists-glue-50	llm	balance (too pro-protester)	"The original article ends with three sentences of a statement by Barclays bank defending themselves from the protesters' accusations. None of this material is included in the summary, which means that the overall balance has shifted from the original to be more sympathetic to the protesters in the summary. This must be fixed by including at least some summarised material from the Barclays statement."			
Daily-Mail_2024-02-14_BBCs-Chris-Packham	replacement	format (typo)		caption1	"Police, Crime , Sentencing and Courts Act 2022"	"Police, Crime, Sentencing and Courts Act 2022"
Sun_2024-07-19_JUST-APPALLING-I-went	llm	balance (too anti-protester)	"The summary alters the tone and balance of the original article. The original maintains a strong negative portrayal of the protesters throughout, describing them as ""eco zealots,"" a ""cult,"" and ""fanatics,"" with extensive coverage of the journalist's undercover operation, court proceedings, and vindication of The Sun's reporting. The summary removes most of this critical framing, including the cult-like characterization, the judge's condemnation of the protesters as ""fanatics,"" and The Sun's celebration of their role in stopping the protest. The key aspects of the protest itself must be covered, but not at the expense of losing the original's strongly negative editorial stance against the protesters."			
Sun_2024-07-19_JUST-APPALLING-I-went	replacement	format (photo credit)		caption0	Credit: Just Stop Oil	[DELETE]
Sun_2024-07-19_JUST-APPALLING-I-went	replacement	format (photo credit)		caption1	Credit: Supplied	[DELETE]
Sun_2024-07-19_JUST-APPALLING-I-went	replacement	format (photo credit)		caption2	Credit: Supplied	[DELETE]
BBC_2024-08-15_Activists-plead-not-guilty	replacement	format (link material)		text	"\nFollow Essex news on BBC Sounds, Facebook, Instagram and X."	[DELETE]
BBC_None_More-arrests-after-protest	replacement	format (link material)		text	"\nFollow BBC Nottingham on Facebook, on X, or on Instagram. Send your story ideas to eastmidsnews@bbc.co.uk or via WhatsApp on 0808 100 2210."	[DELETE]
Daily-Mail_2023-10-17_Greta-Thunberg-20	llm	balance (too pro-protester)	"For balance, the spokesperson for the Energy Intelligence Forum needs to be given a very short quote at the end to highlight positive aspects of the Forum. The one saying The Energy Intelligence Forum is a 'platform for fostering debate...and finding answers to the big questions facing the energy industry' is required."			
ITV_2024-06-22_Just-Stop-Oil	replacement	format (photo credit)		caption0	 Credit: ITV News Anglia	[DELETE]
